Day,Hour,Tor_scaled,Web_Adult,YouTube
Friday,0,819918.5006164426,14280909262.152,555874406174.0
Friday,1,395722.7797436615,6632208247.861,296303719900.007
Friday,2,228111.67754276897,4466371170.468,191662316238.005
Friday,3,107307.43377498888,2673082045.937,122336643394.018
Friday,4,131142.31532918848,1871174071.057,94355745877.009
Friday,5,145919.39801578436,2035664264.739,88063210416.011
Friday,6,171142.91362470182,4011004266.41,147612753230.004
Friday,7,357477.4408533666,6850293172.745,350573271311.0
Friday,8,429876.6221748553,7126306712.809,515069700961.0
Friday,9,649601.4827300184,6337433426.036,467708873855.0
Friday,10,587187.1577157405,6128727691.984,438181478895.0
Friday,11,617246.4020894828,5522580407.133,462192056067.002
Friday,12,461353.04786454927,4903362713.884,529687196352.0
Friday,13,667823.4245261686,6951973594.647,564513620846.0
Friday,14,560690.3153282735,6905279510.77,520297397781.0
Friday,15,570940.2657060801,7367519361.688,535550731970.0
Friday,16,648042.1638638859,6780514044.734,578618238764.0
Friday,17,890485.5954304471,6115933211.838,658060499798.0
Friday,18,790954.1466931946,6173410456.994,697676697862.0
Friday,19,648853.5201731413,4418766068.521,673525923972.0
Friday,20,836387.6958782404,3560194557.891,644512289083.0
Friday,21,871158.3965616921,3891465082.433,619809257050.0
Friday,22,478342.53048926766,5418649878.796,616345881304.0
Friday,23,426003.597804749,6790549637.765,556653558059.0
Monday,0,754365.8812151352,10378287834.277,428753464581.0
Monday,1,599560.3614892914,6885159904.798,286132281731.0
Monday,2,421601.4722885141,4172276710.149,184779239061.001
Monday,3,300670.7519429826,2107144315.108,121708530347.002
Monday,4,135677.58794871322,1634309102.99,96211439361.003
Monday,5,171838.50508431788,1715989765.355,87709202309.002
Monday,6,150950.47225730622,3450826239.502,137467909816.0
Monday,7,353337.2711969148,5390396354.717,323278466339.0
Monday,8,454978.2416217337,6703749617.654,479240495303.0
Monday,9,661311.1045090342,6779932867.701,443408160322.0
Monday,10,592890.2523181483,6989176996.825,422232454069.0
Monday,11,555045.8171454115,6126392026.81,443864443107.0
Monday,12,522488.92712764617,5792141882.924,501481971598.0
Monday,13,634881.2089931413,7710259214.51,573145299903.0
Monday,14,506641.36065804673,7342880393.559,499155588011.0
Monday,15,717334.7701892206,7313195326.746,509215854898.0
Monday,16,687123.3067370804,6234995153.778,550847040235.0
Monday,17,647972.7828008081,6670099541.636,640652525699.0
Monday,18,1034168.2770754535,6920555863.7,697569713707.0
Monday,19,641493.9592297281,5403540142.095,684864074010.0
Monday,20,708337.937468949,4503463428.328,665972800499.0
Monday,21,686707.1979593175,5752205470.884,667887568570.0
Monday,22,876632.572295261,9438351759.409,684984233543.0
