Day,Hour,Tor_scaled,Web_Adult,YouTube
Friday,0,18632.8515406736,237426489.0,18570181276.0
Friday,1,6235.688324087884,93211308.003,8757434551.0
Friday,2,4622.447008346087,38189326.014,4936498514.0
Friday,3,6482.0276835103605,40633107.017,3027715162.0
Friday,4,2762.567988081441,26187197.022,2442856843.0
Friday,5,2525.695037975586,17561736.020999998,2565770024.0
Friday,6,6398.998273676281,48110341.002,3915181748.0
Friday,7,32183.15649315449,90481968.001,9430685174.0
Friday,8,19077.950976995984,188044759.0,15439744980.0
Friday,9,53168.4118406125,126665986.001,14297070581.0
Friday,10,52437.96761489163,93144244.001,12385368729.0
Friday,11,45627.577456368585,67884519.001,12667010305.0
Friday,12,12054.178334447912,85502251.0,14419303364.0
Friday,13,33575.49817341865,81272039.001,14935959912.0
Friday,14,35613.825673868894,70097818.0,14334873066.0
Friday,15,26471.62928124223,87164165.001,14869822770.0
Friday,16,37700.420953503126,65891142.001,15276222340.0
Friday,17,106561.12697090911,83257295.002,18155340510.0
Friday,18,85098.43167795757,73350947.0,20043819545.0
Friday,19,127535.0369719878,57011034.0,19987150555.0
Friday,20,346273.87543346453,49288546.002000004,19345233733.0
Friday,21,195786.74347009702,116585667.002,18191946970.0
Friday,22,78360.7419669113,94280123.0,17853667386.0
Friday,23,15401.622538513038,86358143.0,16851784608.0
Monday,0,7853.999474129748,178681273.001,13319748101.0
Monday,1,3818.777917698684,146940666.004,8339102550.0
Monday,2,4968.690720683192,81021958.011,4935928662.0
Monday,3,5332.751617457053,19012607.025,3280596228.0
Monday,4,3195.6326620938594,18000354.024,2268197752.0
Monday,5,3431.796646566424,13419430.015999999,2445985529.0
Monday,6,9551.575158931522,24226119.002,3254766393.0
Monday,7,13944.588617452995,43963075.0,8462343683.0
Monday,8,38738.05365918909,98793634.0,13978624493.0
Monday,9,31515.8907266101,102062190.001,13287442281.0
Monday,10,23331.36862869395,111663537.002,11244191277.0
Monday,11,50922.617147189296,103002889.0,12140495224.0
Monday,12,26705.92051553013,81913803.001,13415472593.0
Monday,13,34948.46236841725,94116490.0,15511827027.0
Monday,14,21447.39692939943,108984589.0,13487581397.0
Monday,15,40079.546582737115,127514247.0,13219175133.0
Monday,16,69129.9994076754,127554444.0,15119925747.0
Monday,17,23996.394920156803,135035618.0,17377652324.0
Monday,18,43789.23050284842,61827460.002000004,18980629519.0
Monday,19,68078.33720654565,53690665.001,19920559253.0
Monday,20,191949.48226366218,49838822.001,20368437851.0
Monday,21,123308.65764409567,117322517.0,19893593487.0
Monday,22,81368.40868347934,203324282.0,20185841041.0
Monday,23,24386.259148227484,188865348.001,18497684868.0
Saturday,0,36865.097931091084,128328322.0,13205274721.0
Saturday,1,25714.69517869747,103909329.002,9689985351.0
Saturday,2,2816.2904848885864,35059435.006,5947978062.0
Saturday,3,1274.2732723257454,24369399.022,3775496946.0
Saturday,4,1157.3717973937212,49817661.028000005,2925975254.0
Saturday,5,2841.712237130468,34516431.019999996,2614265684.0
Saturday,6,7004.519467589728,35381359.009,3089919902.0
Saturday,7,9626.518520580848,64538231.002000004,5618394410.0
Saturday,8,32197.834698700615,58986631.001,9987695076.0
Saturday,9,37511.47825997279,97412312.001,12831890952.0
Saturday,10,50972.88828764719,110670814.002,14695625619.0
Saturday,11,22585.572877230086,92846804.001,16666513688.0
Saturday,12,42899.14278574137,99097775.00400001,16745959087.0
Saturday,13,35660.016524383704,78206970.002,16458757411.0
Saturday,14,48146.19493824192,111466831.0,17116174647.0
Saturday,15,37292.432085405846,107218045.002,16554170951.0
Saturday,16,83495.00749164971,137311428.007,16709801717.0
Saturday,17,100285.23049924323,86234780.002,16473488559.0
Saturday,18,94214.88605815031,125962694.004,16535028131.0
Saturday,19,54440.052763060434,89459215.007,16649629202.0
Saturday,20,70235.94903860486,97365886.007,16405541654.0
Saturday,21,154406.28348361308,42565183.009,16039693278.0
Saturday,22,190325.46448462232,44598232.003,17333606085.0
Saturday,23,67862.39625848326,78123215.00400001,17400903608.0
Sunday,0,19924.303029971972,69680752.0,14432852672.0
Sunday,1,14320.093884912445,66548942.0,9032650904.0
Sunday,2,10956.362658181832,28976846.005,6112519838.0
Sunday,3,3770.8144602025513,27533471.008,4347414629.0
Sunday,4,2421.2796922705406,23458083.018,2788689979.0
Sunday,5,5504.734460170387,36155750.028,2154216810.0
Sunday,6,2336.224600961968,26432072.018,2435008762.0
Sunday,7,1564.6852889202291,44384692.002,4401537500.0
Sunday,8,11820.603301544199,51160252.0,7626081199.0
Sunday,9,12934.104711253225,33598609.0,10738763048.0
Sunday,10,14012.681770748104,83613888.0,13757756276.0
Sunday,11,40823.55914959697,72818480.0,14763790611.0
Sunday,12,23425.54289145422,110007403.002,15086119030.0
Sunday,13,27176.923960534747,104357604.0,15134543312.0
Sunday,14,54713.51028683517,43626277.0,16271909372.0
Sunday,15,91861.27825940472,138999097.0,16266761232.0
Sunday,16,115446.61221564177,95323858.0,16157434166.0
Sunday,17,91479.42287819764,161986205.001,17010156715.0
Sunday,18,75832.30737630803,107259557.0,18733668996.0
Sunday,19,50394.88970944531,89270802.0,19051666803.0
Sunday,20,38572.047777035266,81266962.001,18956502810.0
Sunday,21,91876.3327762668,64538957.001,18819729218.0
Sunday,22,167335.02128103568,142196081.0,19764903090.0
Sunday,23,38798.72757846742,176042692.0,16961778663.0
Thursday,0,14068.235349243796,134397235.0,13212906003.0
Thursday,1,46637.6961223834,57564674.003,8299079960.0
Thursday,2,25285.611119952282,93388161.007,5101061523.0
Thursday,3,7815.089446219856,49268916.024000004,3305051303.0
Thursday,4,2543.549588750919,15479457.03,2674215993.0
Thursday,5,4572.994737161811,15674404.02,2697486628.0
Thursday,6,8738.353263953251,46434322.002,3739572694.0
Thursday,7,7823.942111029974,106217209.00299999,9675708847.0
Thursday,8,19845.647389118636,127090893.001,15396688733.0
Thursday,9,19570.810380765583,140306362.0,14250166641.0
Thursday,10,18445.424508061624,58330059.001,12779244896.0
Thursday,11,49880.06043897133,73020934.001,13197982925.0
Thursday,12,35964.997109241805,113689984.001,14962347051.0
Thursday,13,126645.60819028041,56868154.001,15351684538.0
Thursday,14,18317.567512382222,73692001.002,14272640088.0
Thursday,15,45336.404771933514,83441691.001,13864486824.0
Thursday,16,59300.15125268184,84753974.002,15451106274.0
Thursday,17,35799.79720239573,78936027.001,17032359726.0
Thursday,18,49820.47064682998,81326750.002,19524836228.0
Thursday,19,89203.50588692389,87835608.001,19854196219.0
Thursday,20,314615.6284525206,34932347.005,19847126962.0
Thursday,21,226546.6272546041,118047194.001,18755281903.0
Thursday,22,92072.78829296338,139769632.001,19850090827.0
Thursday,23,33183.27359285486,180483407.0,17874916947.0
Tuesday,0,22506.636485596176,263531614.0,12865367827.0
Tuesday,1,3309.413923490287,135483453.002,7842507317.0
Tuesday,2,2128.9144352061767,101726847.014,4432776114.0
Tuesday,3,3695.3656669483275,26354440.018,2997714714.0
Tuesday,4,10230.162298657575,24378435.03,2521553324.0
Tuesday,5,1082.7580220619284,21453767.016,2544451585.0
Tuesday,6,2001.5614320103539,49094424.001,3826203997.0
Tuesday,7,93694.25536970395,70989084.0,9562659283.0
Tuesday,8,115211.33601161378,78285555.002,16197022817.0
Tuesday,9,61723.40026282937,137941729.001,14365483099.0
Tuesday,10,46059.543787114795,106627960.0,12028693583.0
Tuesday,11,24478.19640303082,108439690.0,12163518153.0
Tuesday,12,22954.883455010786,97660962.0,14059558179.0
Tuesday,13,22967.7654065902,86920564.0,16266932790.0
Tuesday,14,22868.475849557643,99381167.0,13817841611.0
Tuesday,15,48708.07402933603,87996091.0,14137523523.0
Tuesday,16,38203.454962563555,78155202.001,14708461601.0
Tuesday,17,100133.61967294345,89015417.0,17979649855.0
Tuesday,18,229220.79031840063,98901226.0,19642740035.0
Tuesday,19,139157.51233250703,115975002.001,21144782476.0
Tuesday,20,177298.20327788207,101881226.001,19728107664.0
Tuesday,21,287581.560678179,172724327.0,19514970616.0
Tuesday,22,316903.05305768055,140487758.0,19551005543.0
Tuesday,23,79600.26888125758,152076196.0,18286177478.0
Wednesday,0,107578.95333891756,121761088.0,13510030817.0
Wednesday,1,50536.68525435131,114381819.00299999,8299039686.0
Wednesday,2,30512.103117756513,48192813.015,4807092829.0
Wednesday,3,6129.826056447492,12172180.024,3570109083.0
Wednesday,4,4651.529235815211,9807340.03,2795654101.0
Wednesday,5,11323.840165274794,17169071.016,2613612304.0
Wednesday,6,34131.76785734823,49222466.002000004,3942910814.0
Wednesday,7,7637.602071844728,59213187.0,9339594518.0
Wednesday,8,20467.421386267975,96373019.0,15416482820.0
Wednesday,9,32873.14755407161,95815027.0,14790678692.0
Wednesday,10,28530.264518586624,65096884.0,13541797078.0
Wednesday,11,53908.781256914,96216818.0,14172180152.0
Wednesday,12,49605.69517826871,71366269.002,16180371299.0
Wednesday,13,36918.89648536019,109040134.002,17820066755.0
Wednesday,14,45230.87702623031,84309121.0,16396558034.0
Wednesday,15,29689.248599811122,109337018.001,16399126386.0
Wednesday,16,38837.31559814478,115161074.0,17763663674.0
Wednesday,17,78397.73832145796,109141884.001,18958481627.0
Wednesday,18,57230.90645509277,118496896.001,20782207871.0
