Day,Hour,Tor_scaled,Web_Adult,YouTube
Friday,0,0.4303662968404478,1123725.0,37911102.0
Friday,1,0.23986537408299186,129592.001,15334237.0
Friday,2,0.17175938914849093,121362.001,8982375.0
Friday,3,0.37706836411017575,193846.002,4801606.0
Friday,4,0.1806430359847834,78819.00300000001,3918029.0
Friday,5,1.0551887134242433,87553.003,3119593.0
Friday,6,12.119274350875566,62487.001,11704743.0
Friday,7,9.32585996972506,145284.001,25058183.0
Friday,8,91.77498527028371,230489.0,25719139.0
Friday,9,217.31078578580343,199755.0,22388540.0
Friday,10,133.63966550931923,120412.001,25375767.0
Friday,11,19.477891198650354,214810.001,16244773.0
Friday,12,0.7847241113495771,218649.0,22151058.0
Friday,13,1.233844773733309,270623.001,26299227.0
Friday,14,2.0600249165803803,225355.0,22871525.0
Friday,15,0.4540589829528398,173826.0,21450832.0
Friday,16,1313.9249295054053,250810.0,32990606.0
Friday,17,17.426757825481232,122089.0,43142318.0
Friday,18,6.344899958997971,186473.0,42167615.0
Friday,19,6.4347254733753365,108740.0,41263898.0
Friday,20,8.0614218904313,37885.0,43271807.0
Friday,21,271.90869118271445,45287.001,43958755.0
Friday,22,4608.452011659124,154430.0,35912679.0
Friday,23,3130.8014758962076,282929.0,35507672.0
Monday,0,1.2476598316356144,241888.0,31259693.0
Monday,1,4.997551790852964,166525.0,18342304.0
Monday,2,17.131627284429662,63044.0,11490059.0
Monday,3,10.385979107143445,51993.002,6221879.0
Monday,4,0.050347574908752274,52639.004,4355699.0
Monday,5,0.3533786392133958,5611.003,4056156.0
Monday,6,1.0857790577690808e-05,88575.001,8917911.0
Monday,7,329.6938555984005,103471.0,20483255.0
Monday,8,103.99394894474052,268458.0,29346661.0
Monday,9,127.94129663855733,333317.0,21166248.0
Monday,10,0.3977948992511168,177583.0,22885935.0
Monday,11,0.7373456486278879,76149.0,19777061.0
Monday,12,0.27243578460045215,148843.0,24664066.0
Monday,13,1.8181883599716024,177766.0,29506559.0
Monday,14,0.6139636389342337,140680.0,24584674.0
Monday,15,885.3156215818739,275143.0,28609864.0
Monday,16,1117.1156304223111,257838.0,30415306.0
Monday,17,3551.751102154826,254068.0,39639039.0
Monday,18,6.148474630872578,199980.0,55748086.0
Monday,19,0.3119196465002894,294172.0,45433634.0
Monday,20,5.9786962949685805,150291.0,39582091.0
Monday,21,12.33346598560167,435986.0,48851784.0
Monday,22,14.436916142061591,741737.0,46002529.0
Monday,23,2.6759577638966587,394366.0,38719181.0
Saturday,0,0.2862538037183698,96609.0,34254718.0
Saturday,1,0.41556317999557246,292173.0,28940729.0
Saturday,2,0.74919347229189,206486.0,11443362.0
Saturday,3,0.5883017444397969,62518.002,7532244.0
Saturday,4,0.5261152295138788,212161.001,5474152.0
Saturday,5,0.4718282507691662,28761.002,4555485.0
Saturday,6,0.4619565449903038,24581.002,6505056.0
Saturday,7,48.29743156866947,107356.0,9748950.0
Saturday,8,0.3583120244231502,168366.0,20975701.0
Saturday,9,1.6168296466364556,196037.0,37361676.0
Saturday,10,1.3295897581192573,492886.0,43070397.0
Saturday,11,320.5969992638933,227693.0,41077510.0
Saturday,12,181.20665599709633,177339.0,41716214.0
Saturday,13,193.7957735972091,243591.0,39409084.0
Saturday,14,41.46788030823008,137853.0,45050008.0
Saturday,15,61.896317770076244,319561.0,41987332.0
Saturday,16,8.040688445787264,332092.0,55490046.0
Saturday,17,429.97837956940674,75783.001,45886961.0
Saturday,18,2411.4708730192347,211353.001,48375422.0
Saturday,19,163.92302951529774,65371.001000000004,41709108.0
Saturday,20,28.434584314590182,131297.001,43905019.0
Saturday,21,134.12530684384694,22636.001,55179919.0
Saturday,22,2.9069335687121347,79180.001,49876675.0
Saturday,23,1.7471221464968745,286531.0,41994347.0
Sunday,0,1.392761370772133,57844.0,29002367.0
Sunday,1,0.16386084003915619,117619.0,22041936.0
Sunday,2,0.09871409657301133,274402.0,9839630.0
Sunday,3,0.16780912752195284,28477.002,6245774.0
Sunday,4,10.469878242009132,56016.001000000004,4518937.0
Sunday,5,0.061205365486443085,7414.003,3080195.0
Sunday,6,0.09476482201834398,15506.004,5447594.0
Sunday,7,11.048301371166971,248246.001,8566663.0
Sunday,8,1331.5017232423045,99278.0,17735546.0
Sunday,9,212.37246324255176,591453.0,27793852.0
Sunday,10,126.92955191937818,321026.0,32468761.0
Sunday,11,97.9481317625644,143888.0,34174298.0
Sunday,12,109.00234964252434,54464.0,37533552.0
Sunday,13,108.9845843229955,167435.0,34887432.0
Sunday,14,109.10796929390476,249410.0,41559184.0
Sunday,15,114.54870549691107,63321.0,41702422.0
Sunday,16,643.9943155025288,112576.0,45001488.0
Sunday,17,39.7938064155243,199065.0,37223533.0
Sunday,18,154.79952520149723,190061.0,38802890.0
Sunday,19,75.8505537932222,101463.0,39530379.0
Sunday,20,0.12240382146979127,96431.0,40383659.0
Sunday,21,113.01874705854297,272032.0,47591585.0
Sunday,22,3.5426029180830425,601529.0,39248156.0
Sunday,23,21.66919272574624,453041.0,41165046.0
Thursday,0,91.02184548465274,225956.0,35332864.0
Thursday,1,0.4550480289672804,418818.001,12636095.0
Thursday,2,1.7836447927846142,275990.001,5219792.0
Thursday,3,1.6257172417602308,114761.00200000001,3466889.0
Thursday,4,29.487792961841805,25362.003,3730408.0
Thursday,5,19.759212604230836,262552.002,3442201.0
Thursday,6,0.06219539857275435,130527.001,10994797.0
Thursday,7,0.38397885427694056,104287.001,17502069.0
Thursday,8,1159.8667051495217,235312.001,24888142.0
Thursday,9,4.854420447170361,144769.0,17928198.0
Thursday,10,1782.6054080789118,60302.001000000004,20852913.0
Thursday,11,492.5538017994521,159946.001,18863075.0
Thursday,12,3.2514177032986598,125755.0,19348289.0
Thursday,13,3.00366365082504,201085.001,25060080.0
Thursday,14,1.7550167473187264,190592.001,26177419.0
Thursday,15,1.3177468698146086,166675.001,23177689.0
Thursday,16,45.79224414790686,647420.0,25294990.0
Thursday,17,2.536777668912465,320312.0,38386856.0
Thursday,18,1883.3410308043306,121084.001,44208041.0
Thursday,19,853.5101917642054,261782.001,37857818.0
Thursday,20,5.962906106253007,114048.001,31693512.0
Thursday,21,706.1235851953057,174686.001,36952016.0
Thursday,22,415.62833068732607,473983.001,44490436.0
Thursday,23,3.97395727386606,764313.0,31188248.0
Tuesday,0,1.7352733357610017,384229.0,23844233.0
Tuesday,1,0.20827808714874788,406038.0,17496592.0
Tuesday,2,0.4461643821309879,155501.0,8422558.0
Tuesday,3,0.2556595110860492,68173.0,4914328.0
Tuesday,4,0.26454513206608304,134541.002,5024434.0
Tuesday,5,0.04047586912988994,58971.0,5636958.0
Tuesday,6,0.019746372773336785,98432.0,9037897.0
Tuesday,7,3.4202099544038287,209507.0,26071350.0
Tuesday,8,58.63207405488972,132227.0,26643728.0
Tuesday,9,2.784533695529826,223111.0,22378163.0
Tuesday,10,11.848816658303994,145253.0,18395544.0
Tuesday,11,4.806056886721715,173841.0,19396867.0
Tuesday,12,2.091609242299012,118764.0,26330783.0
Tuesday,13,1.9978384016544624,279527.0,33402125.0
Tuesday,14,1.0690027842546779,897046.0,24133128.0
Tuesday,15,35.49214720301734,1910037.0,25332747.0
Tuesday,16,0.6100173255951785,257117.0,34601095.0
Tuesday,17,180.76148658341103,318899.0,38487844.0
Tuesday,18,5.768450973581529,380850.0,56079801.0
Tuesday,19,22.44898049067045,196752.0,43617483.0
Tuesday,20,26.230451840247078,87779.0,42498316.0
Tuesday,21,14.035177890687029,372929.0,43635953.0
Tuesday,22,149.36174330459988,740764.0,46980844.0
Tuesday,23,66.12987099764871,442453.0,32626909.0
Wednesday,0,0.12832230440650347,285689.0,27469690.0
Wednesday,1,81.00011169094722,189360.0,15759778.0
Wednesday,2,0.00395717112963295,109844.0,7841743.0
Wednesday,3,0.00395717112963295,132096.002,6639073.0
Wednesday,4,0.04639928742595562,40355.001000000004,4459787.0
Wednesday,5,4.104253722013961,17552.0,3546184.0
Wednesday,6,0.03653054286270538,152903.0,10233049.0
Wednesday,7,1.348345110734412,199846.0,25358371.0
Wednesday,8,2.3521972032354626,190157.0,27584875.0
Wednesday,9,734.8207237179988,108499.0,28797005.0
Wednesday,10,134.85376489735108,188239.0,30780059.0
Wednesday,11,3.603806309425744,225554.0,28235421.0
Wednesday,12,2.761831042503745,177089.0,38016507.0
Wednesday,13,33.84472227667669,165652.0,36418580.0
Wednesday,14,1089.370029182972,252573.0,34015116.0
Wednesday,15,565.6030446365583,748504.001,36276653.0
Wednesday,16,27.29944870207053,235908.0,42071654.0
Wednesday,17,6.796978875778187,235014.001,46190979.0
Wednesday,18,1697.5099440800807,251672.001,43798446.0
Wednesday,19,1347.3353391719024,247744.001,39403625.0
Wednesday,20,0.7748553667863268,95531.001,32323341.0
Wednesday,21,2.8417828769585065,211795.001,39386500.0
Wednesday,22,10.336618604105391,430702.0,38742554.0
Wednesday,23,8.492769336711223,300786.0,35705204.0
